timestep,mean_reward
500,-0.002028000000398606
1000,-0.00035800000536255537
1500,-0.0007179999973159284
2000,-0.000971999998902902
2500,-0.0009140000119805336
3000,-0.00026200000685639677
3500,-0.0008000000119209289
4000,-0.00016199999768286944
4500,-0.00015199999953620136
5000,-0.0005600000023841858
5500,-0.0003799999989569187
6000,-0.0005340000004507602
6500,-0.000406000004382804
7000,-4.600000032223761e-05
7500,-0.0001579999984242022
8000,-0.00040999999991618097
8500,-0.0001980000021867454
9000,-6.000000052154064e-06
9500,-7.40000014193356e-05
10000,-2.800000039860606e-05
